乞闭 传老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,103
2014,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,29
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,115
2016,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,89
2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103
2018,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,74
2019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,115
2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,103
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,89
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119
乞闭 拌例喊 传老荐
楷档,航(3~5岿),咯抚(6~8岿),啊阑(9~11岿),败匡(12~劳斥2岿)
乞斥,0.5,0.0,0.1,3.5
弥辟 10斥,0.1,0.0,0.1,2.1
弥辟  5斥,0.0,0.0,0.2,1.4
1900,0,0,0,0
1901,0,0,0,0
1902,0,0,0,0
1903,0,0,0,0
1904,0,0,0,4
1905,1,0,0,1
1906,0,0,0,8
1907,2,0,0,2
1908,1,0,0,2
1909,1,0,1,1
1910,1,0,0,5
1911,0,0,0,3
1912,0,0,0,2
1913,1,0,0,5
1914,2,0,0,4
1915,4,0,0,4
1916,1,0,0,6
1917,0,0,0,6
1918,0,0,0,14
1919,0,0,1,10
1920,0,0,0,4
1921,1,0,0,3
1922,2,0,0,8
1923,0,0,0,4
1924,2,0,1,4
1925,1,0,0,6
1926,2,0,0,9
1927,1,0,0,7
1928,3,0,1,7
1929,2,0,0,3
1930,3,0,0,6
1931,0,0,0,11
1932,4,0,1,7
1933,1,0,0,10
1934,0,0,0,3
1935,0,0,0,13
1936,2,0,0,8
1937,2,0,0,6
1938,1,0,1,2
1939,1,0,0,5
1940,1,0,1,6
1941,1,0,0,6
1942,0,0,0,6
1943,2,0,0,8
1944,1,0,0,4
1945,2,0,0,2
1946,1,0,0,5
1947,1,0,0,8
1948,1,0,0,3
1949,0,0,0,7
1950,0,0,2,3
1951,0,0,0,9
1952,1,0,0,5
1953,0,0,0,1
1954,1,0,0,5
1955,0,0,0,4
1956,3,0,1,4
1957,2,0,0,8
1958,1,0,0,2
1959,0,0,0,5
1960,0,0,0,7
1961,1,0,0,6
