date,temp,rain,snow
1020,15.7,0.0,0
1021,16.7,0.7,0
1022,16.3,0.1,0
1023,16.2,5.9,0
1024,14.3,59.1,0
1025,15.7,0.0,0
1026,15.7,0.0,0
1027,16.5,0.0,0
1028,14.7,4.3,0
1029,17.1,0.3,0
1030,17.7,0.0,0
1031,19.6,0.0,0
1101,15.8,0.0,0
1102,8.6,0.5,0
1103,5.1,0.0,0
1104,9.0,0.0,0
1105,7.3,0.0,0
1106,7.7,0.0,0
1107,9.7,0.0,0
1108,11.1,0.0,0
1109,8.5,0.0,0
1110,10.4,0.0,0
1111,13.6,0.0,0
1112,14.6,0.0,0
1113,14.6,0.0,0
1114,14.7,0.0,0
1115,16.1,0.0,0
1116,15.6,0.0,0
1117,13.5,0.0,0
1118,12.3,0.0,0
1119,11.9,1.6,0
1120,6.2,0.0,0
1121,5.7,0.0,0
1122,4.3,0.0,0
1123,2.6,0.0,0
1124,5.0,0.0,0
1125,2.2,0.0,0
1126,4.5,0.0,0
1127,5.9,0.0,0
1128,6.7,0.0,0
1129,7.7,0.0,0
1130,0.7,0.0,0
1201,7.0,0.0,0
1202,7.3,0.0,0
1203,3.9,0.0,0
1204,6.5,0.0,0
1205,8.5,0.0,0
1206,7.0,0.0,0
1207,5.7,0.0,0
1208,5.1,1.9,0
1209,2.3,0.0,0
1210,1.5,0.0,0
1211,3.4,0.0,0
1212,5.1,0.0,0
1213,8.6,0.0,0
1214,5.3,0.0,0
1215,6.9,0.0,0
1216,9.4,30.8,0
1217,9.9,0.0,0
1218,10.9,18.3,0
1219,3.6,0.0,0
1220,0.4,0.0,0
1221,-1.7,0.0,0
1222,-1.3,0.0,0
1223,-2.5,0.0,0
1224,-1.0,0.0,0
1225,0.3,0.0,0
1226,-1.4,0.0,0
1227,1.9,0.0,0
1228,1.8,0.0,0
1229,-2.1,0.0,0
1230,2.0,0.0,0
1231,4.7,0.0,0
0101,3.9,0.0,0
0102,0.7,0.0,0
0103,1.8,0.0,0
0104,3.4,0.0,0
0105,9.3,0.1,0
0106,5.1,0.0,0
0107,6.2,0.0,0
0108,6.3,0.0,0
0109,-1.4,0.0,0
0110,-5.0,0.0,0
0111,-3.7,0.0,0
0112,0.8,0.0,0
0113,3.7,0.9,0
0114,5.1,1.0,0
0115,6.2,0.0,0
0116,7.1,0.0,0
0117,7.1,0.8,0
0118,7.9,0.0,0
0119,8.7,0.0,0
0120,8.0,19.1,0
0121,8.1,1.7,0
0122,4.6,0.0,0
0123,5.1,0.0,0
0124,5.9,0.0,0
0125,8.6,0.0,0
0126,10.2,0.0,0
0127,9.4,0.0,0
0128,8.9,0.0,0
0129,7.0,0.8,0
0130,-0.1,0.0,0
0131,-2.1,0.0,0
0201,-3.3,0.1,0
